"plot_id","coords_longitude","coords_latitude","admin_province","admin_region","admin_municipality","admin_aut_community","topo_fdm_slope_percentage","topo_altitude_asl","cubiertaParcela","sys_dt_started","sys_dt_done"
"P_00001",1.81015104098743,42.2993138928943,"Barcelona","Berguedà","Guardiola de Berguedà","Catalunya",46.9485054,1919.5,"b. ralo","2022-09-07 16:41:18","2022-09-07 16:41:21"
"P_00002",1.78571667967847,42.2911864846551,"Barcelona","Berguedà","Bagà","Catalunya",62.3993797,1720.7700195,"b.denso","2022-09-07 16:41:18","2022-09-07 16:41:24"
"P_00003",1.79787970006816,42.2913596732643,"Barcelona","Berguedà","Bagà","Catalunya",51.4742393,1717.1600342,"b.denso","2022-09-07 16:41:18","2022-09-07 16:41:24"
"P_00004",1.81007571669349,42.2910726067125,"Barcelona","Berguedà","Guardiola de Berguedà","Catalunya",69.6647568,1440.5400391,"pasturaje","2022-09-07 16:41:18","2022-09-07 16:41:27"
"P_00005",1.78617107328926,42.2814197621613,"Barcelona","Berguedà","Gisclareny","Catalunya",60.3889809,1346.9799805,"b. ralo","2022-09-07 16:41:18","2022-09-07 16:41:29"
"P_00006",1.75012656436748,42.272828058932,"Barcelona","Berguedà","Gisclareny","Catalunya",59.1585579,1755.4399414,"b.denso","2022-09-07 16:41:18","2022-09-07 16:41:31"
"P_00010",1.8103569287485,42.2735497797158,"Barcelona","Berguedà","Gisclareny","Catalunya",53.8600349,1134.25,"b.denso","2022-09-07 16:41:18","2022-09-07 16:41:32"
"P_00015",1.76238879644218,42.2634056471257,"Barcelona","Berguedà","Gisclareny","Catalunya",55.2376022,1400.3900146,"pasturaje","2022-09-07 16:41:18","2022-09-07 16:41:35"
"P_00018",1.70170397907699,42.254016812948,"Barcelona","Berguedà","Saldes","Catalunya",63.965271,1623.5100098,"b.denso","2022-09-07 16:41:18","2022-09-07 16:41:36"
"P_00022",1.76151703713835,42.2552907867171,"Barcelona","Berguedà","Saldes","Catalunya",53.9356117,1464.4599609,"b.denso","2022-09-07 16:41:18","2022-09-07 16:41:36"
"P_00026",1.73820587530389,42.2454902407568,"Barcelona","Berguedà","Saldes","Catalunya",121.3551865,1088.1700439,"pasturaje","2022-09-07 16:41:37","2022-09-07 16:41:58"
"P_00030",1.76266638177019,42.2368047163479,"Barcelona","Berguedà","Saldes","Catalunya",70.3441391,1048.6500244,"b.denso","2022-09-07 16:41:37","2022-09-07 16:41:59"
"P_00036",1.75062125344599,42.2275059278944,"Barcelona","Berguedà","Saldes","Catalunya",29.7318935,1134.8000488,"b.denso","2022-09-07 16:41:37","2022-09-07 16:42:01"
"P_00037",1.79902324784256,42.2279419337151,"Barcelona","Berguedà","Vallcebre","Catalunya",41.2249298,1180.9799805,"pasturaje","2022-09-07 16:41:37","2022-09-07 16:42:16"
"P_00042",1.71520831982491,42.2092285658538,"Barcelona","Berguedà","Saldes","Catalunya",14.6130209,1414.3900146,"b.denso","2022-09-07 16:41:37","2022-09-07 16:42:19"
"P_00045",1.76277708019038,42.2094183329671,"Barcelona","Berguedà","Saldes","Catalunya",21.8604279,1674.8800049,"b. ralo","2022-09-07 16:41:37","2022-09-07 16:42:21"
